省份,城市,地区,标识id
四川省,乐山市,乐山大佛风景区,927
四川省,乐山市,峨眉山旅游风景区,1706
四川省,遂宁市,中国死海旅游度假区,928
四川省,阿坝藏族羌族自治州,四姑娘山景区,930
四川省,阿坝藏族羌族自治州,汶川三江生态旅游区,931
四川省,德阳市,广汉三星堆博物馆,939
四川省,甘孜藏族自治州,海螺沟冰川森林公园,941
四川省,南充市,阆中古城景区,950
四川省,南充市,西山风景区,951
四川省,雅安市,碧峰峡,958
四川省,雅安市,蒙顶山风景名胜区,1661
四川省,广安市,邓小平故里旅游区,1049
四川省,宜宾市,夕佳山景区,1123
四川省,宜宾市,兴文世界地质公园,1136
四川省,绵阳市,七曲山风景区,1130
四川省,绵阳市,窦圌山景区,1144
贵州省,贵阳市,贵阳龙洞堡国际机场,653
贵州省,贵阳市,人民广场,4503
贵州省,安顺市,龙宫风景名胜区,876
贵州省,安顺市,黄果树大瀑布景区,5665
贵州省,遵义市,遵义会议会址,897
贵州省,毕节市,贵州百里杜鹃风景名胜区,902
贵州省,黔南布依族苗族自治州,荔波樟江风景名胜区,5666
天津市,天津市,天津站,749
天津市,天津市,天津滨海国际机场,806
上海市,上海市,上海虹桥国际机场,760
上海市,上海市,上海浦东国际机场,763
浙江省,杭州市,杭州萧山国际机场,771
浙江省,杭州市,杭州站,772
浙江省,湖州市,竹海风景区,1300
浙江省,湖州市,湖州站,4393
浙江省,温州市,南雁荡山国家重点风景名胜区,1601
浙江省,温州市,温州火车站,6202
浙江省,台州市,长屿硐天风景名胜区,1630
浙江省,台州市,江南长城景区,1636
浙江省,丽水市,龙泉凤羽休闲山庄,4201
浙江省,丽水市,石门洞天,4204
浙江省,衢州市,钱江源国家森林公园,4206
浙江省,衢州市,清漾景区,4727
浙江省,嘉兴市,嘉兴站,4395
浙江省,宁波市,银泰城,4410
浙江省,宁波市,城隍庙步行街,4417
浙江省,舟山市,朱家尖国际沙雕艺术广场,4424
浙江省,舟山市,乌石塘景区,4425
浙江省,绍兴市,绍兴市城市广场,6074
浙江省,绍兴市,绍兴市天主堂,6075
安徽省,合肥市,合肥汽车客运总站,774
安徽省,合肥市,徽园,1286
安徽省,黄山市,黄山风景区,1178
安徽省,黄山市,黄山皖南古村落（西递）,5634
安徽省,宣城市,恩龙山庄生态旅游度假区,1183
安徽省,宣城市,绩溪龙川景区,5635
安徽省,安庆市,天柱山旅游区,1261
安徽省,池州市,石台牯牛降风景区,1262
安徽省,池州市,九华山风景区,1624
安徽省,芜湖市,马仁奇峰森林风景区,1303
安徽省,芜湖市,王稼祥纪念园,1304
安徽省,六安市,天堂寨风景区,1349
安徽省,六安市,万佛湖风景区,1350
安徽省,阜阳市,阜阳生态乐园,1541
安徽省,阜阳市,颍上八里河景区,5636
安徽省,淮南市,八公山风景区,1566
安徽省,马鞍山市,采石景区,1617
北京市,北京市,首都国际机场,786
北京市,北京市,新中关购物中心,4307
北京市,北京市,北京欢乐谷,5381
山东省,济南市,济南火车站,790
山东省,济南市,济南遥墙国际机场,791
山东省,济宁市,孟庙孟府,1507
山东省,济宁市,明故城（三孔）旅游区,5614
山东省,日照市,五莲山风景区,1522
山东省,聊城市,聊城东昌湖旅游区,1527
山东省,枣庄市,台儿庄古城,1537
山东省,临沂市,蒙山旅游区平邑龟蒙景区,1576
山东省,临沂市,蒙山国家森林公园,1577
山东省,潍坊市,沂山国家森林公园,1582
山东省,淄博市,中国陶瓷馆,1586
山东省,淄博市,原山国家森林公园,1652
山东省,莱芜市,房干生态旅游区,1589
山东省,泰安市,泰山风景区,1592
山东省,威海市,刘公岛风景名胜区,1628
山东省,威海市,赤山风景名胜区,1687
山东省,青岛市,青岛十梅庵风景区,4352
山东省,青岛市,青岛市火车站,5903
辽宁省,沈阳市,沈阳桃仙国际机场,805
辽宁省,沈阳市,沈阳奥体中心,5711
辽宁省,东港市,大鹿岛风景区,1231
辽宁省,鞍山市,鞍山千山风景名胜区,1465
辽宁省,鞍山市,玉佛苑,1499
辽宁省,本溪市,关门山国家森林公园,1468
辽宁省,本溪市,本溪水洞景区,1469
辽宁省,丹东市,抗美援朝纪念馆,1473
辽宁省,丹东市,五龙山风景区,1563
辽宁省,抚顺市,红河峡谷漂流,1474
辽宁省,抚顺市,猴石国家森林公园,1475
辽宁省,抚顺市,赫图阿拉城,1476
辽宁省,葫芦岛市,兴城海滨旅游景区,1481
辽宁省,葫芦岛市,兴城古城,1482
辽宁省,葫芦岛市,龙湾海滨风景区,1678
辽宁省,锦州市,辽沈战役纪念馆,1483
辽宁省,锦州市,锦州北普陀山旅游区,1571
辽宁省,辽阳市,广佑寺,1485
辽宁省,铁岭市,清河旅游度假区,1581
辽宁省,大连市,大连国际会议中心,4163
辽宁省,大连市,棒棰岛风景区,4164
西藏自治区,拉萨市,布达拉宫,884
西藏自治区,拉萨市,大昭寺,885
西藏自治区,日喀则地区,扎什伦布寺,888
西藏自治区,日喀则地区,珠峰大本营,889
西藏自治区,山南地区,桑耶寺,952
西藏自治区,林芝地区,巴松措风景区,1656
云南省,丽江市,玉水寨,893
云南省,丽江市,丽江古城,894
云南省,昆明市,九乡风景区,895
云南省,昆明市,石林风景区,1109
云南省,保山市,腾冲县热海火山风景区,900
云南省,保山市,腾冲和顺景区,901
云南省,大理白族自治州,南诏风情岛,903
云南省,大理白族自治州,鸡足山,904
云南省,德宏傣族景颇族自治州,南甸宣抚司署,905
云南省,德宏傣族景颇族自治州,莫里热带雨林风景区,906
云南省,红河哈尼族彝族自治州,燕子洞,907
云南省,红河哈尼族彝族自治州,阿庐古洞,908
云南省,西双版纳傣族自治州,西双版纳原始森林公园,916
云南省,西双版纳傣族自治州,野象谷热带雨林景区,917
云南省,迪庆藏族自治州,普达措国家公园,965
云南省,曲靖市,九龙瀑布群风景区,1143
云南省,玉溪市,秀山历史文化公园,1653
云南省,玉溪市,世界第一高桥旅游区,4518
河南省,南阳市,县内乡县衙博物馆,976
河南省,三门峡市,豫西大峡谷,998
河南省,信阳市,鸡公山国家级风景名胜区,1293
河南省,信阳市,南湾湖风景旅游区,1305
河南省,漯河市,南街村风景区,1505
河南省,许昌市,中原花木博览园,1506
河南省,濮阳市,戚城文物景区,1533
河南省,濮阳市,濮阳绿色庄园景区,1534
河南省,商丘市,商丘古文化旅游区,1535
河南省,商丘市,芒砀山文物旅游区,1544
河南省,新乡市,京华园,1536
河南省,新乡市,八里沟景区,6150
河南省,郑州市,嵩山少林风景区,1538
河南省,郑州市,中岳庙,1539
河南省,安阳市,太行大峡谷,1552
河南省,鹤壁市,云梦山风景区,1565
河南省,鹤壁市,金山旅游区,4205
河南省,开封市,中国翰园,1573
河南省,开封市,包公祠风景区,1574
河南省,驻马店市,嵖岈山国家地质公园,1585
河南省,焦作市,云台山景区,1627
河南省,平顶山市,中原大佛,4125
河南省,洛阳市,洛阳火车站,5915
河南省,洛阳市,洛阳火车东站,5916
重庆市,重庆市,白帝城风景区,1038
广西壮族自治区,桂林市,芦笛岩,1040
广西壮族自治区,桂林市,独秀峰·王城景区,1041
广西壮族自治区,南宁市,青秀山风景区,1070
广西壮族自治区,南宁市,广西科技馆,5695
广西壮族自治区,柳州市,立鱼峰风景区,1089
广西壮族自治区,柳州市,龙潭公园,1654
广西壮族自治区,柳州市,柳侯公园,1663
广西壮族自治区,北海市,北海银滩,1095
广西壮族自治区,北海市,北海海洋之窗,1096
广西壮族自治区,钦州市,八寨沟旅游景区,1099
广西壮族自治区,钦州市,刘永福故居,1100
广西壮族自治区,贵港市,桂平西山风景名胜区,1103
广西壮族自治区,玉林市,容县三名景区,1127
广西壮族自治区,玉林市,鹿峰山风景区,1141
广西壮族自治区,梧州市,龙母庙景区,1129
广西壮族自治区,百色市,百色起义纪念馆,1132
广西壮族自治区,百色市,大石围天坑群景区,1137
广西壮族自治区,崇左市,德天瀑布,1146
广西壮族自治区,贺州市,姑婆山国家森林公园,1148
福建省,漳州市,三平风景区,1282
福建省,漳州市,福建土楼(南靖)景区,1283
福建省,厦门市,第二城闽南印象,4618
福建省,厦门市,厦门大学（南普陀）,6423
福建省,泉州市,泉州商城,4622
福建省,泉州市,环球城,4668
福建省,龙岩市,龙岩站,4626
福建省,龙岩市,三元阁,4627
福建省,莆田市,莆田站,4633
福建省,莆田市,湄洲岛妈祖庙,4634
福建省,南平市,建瓯站,4669
福建省,南平市,南平站,4676
福建省,宁德市,宁德站,4670
福建省,宁德市,福安站,4671
福建省,三明市,永安站,4679
福建省,三明市,三明站,4680
福建省,福州市,三坊七巷景区,5644
福建省,福州市,福州市奥林匹克体育中心,5813
江苏省,南京市,雨花台风景区,1287
江苏省,南京市,秦淮河,1289
江苏省,南京市,南京马拉松-奥体东门广场,12024
江苏省,扬州市,大明寺,1294
江苏省,扬州市,仪征铜山森林公园,6149
江苏省,常州市,中华恐龙园,1296
江苏省,常州市,常州市红梅公园,5938
江苏省,镇江市,镇江博物馆,1307
江苏省,镇江市,金山湖风景区,1353
江苏省,连云港市,连岛海滨旅游度假区,1543
江苏省,连云港市,花果山风景区,1575
江苏省,徐州市,淮海战役烈士纪念塔园林,1545
江苏省,徐州市,徐州火车站,6010
江苏省,泰州市,溱湖国家湿地公园,1546
江苏省,南通市,狼山风景名胜区,1611
江苏省,南通市,南通博物苑,1672
江苏省,淮安市,周恩来纪念馆,1709
江苏省,无锡市,新天地广场,4356
江苏省,无锡市,无锡太湖国家旅游度假区,4357
江苏省,盐城市,中华麋鹿园景区,5595
江苏省,苏州市,苏州市寒山寺,5897
江苏省,苏州市,苏州市火车站,5898
黑龙江省,哈尔滨市,太阳岛风景区,1452
黑龙江省,大庆市,大庆铁人王进喜纪念馆,1471
黑龙江省,大庆市,大庆油田历史陈列馆,1472
黑龙江省,齐齐哈尔市,明月岛,1487
黑龙江省,伊春市,嘉荫恐龙国家地质公园,1493
黑龙江省,牡丹江市,火山口国家森林公园,1578
吉林省,白城市,向海国家自然保护区,1466
吉林省,白城市,莫莫格国家级自然保护区,1467
吉林省,松原市,查干湖旅游度假区,1489
吉林省,通化市,龙湾群国家森林公园,1490
吉林省,通化市,杨靖宇烈士陵园,1643
吉林省,长春市,莲花山滑雪场,1558
吉林省,长春市,伪满皇宫博物馆,5659
吉林省,吉林市,北大壶滑雪度假区,1567
吉林省,吉林市,吉林松花湖风景名胜区,1568
吉林省,延边朝鲜族自治州,六鼎山文化旅游区,5663
