城市,地名,标识,中心经度,中心维度,经纬度范围,类别
深圳市,小梅沙度假村,5532,114.3283331,22.60190764,"22.601967128769434,114.32208895683289|22.60036253703601,114.32427763938904|22.598599445538106,114.3248999118805|22.59784665801917,114.32528614997864|22.59836172360844,114.32550072669983|22.599609759159105,114.32650923728943|22.600719114593385,114.32820439338684|22.602185034846062,114.33159470558167|22.602383130979987,114.33204531669617|22.60208598667219,114.33273196220398|22.602066177028842,114.33313965797424|22.60291798911733,114.33414816856384|22.603175512664325,114.33444857597351|22.603413226280004,114.33457732200623|22.604245220701358,114.33382630348206|22.605255492879234,114.33223843574524|22.60586957626498,114.33056473731995|22.60596862171571,114.328054189682|22.604898927075137,114.32530760765076|22.60321513162879,114.32348370552063|",0
深圳市,欢乐海岸,8493,113.9880037,22.52377599,"22.52544098108599,113.98276805877686|22.520327157202154,113.9828109741211|22.52147679301656,113.993239402771|22.527224828607967,113.99255275726318|",0
深圳市,西丽动物园,8520,113.9728117,22.5970938,"22.60054082593017,113.96860599517822|22.598797546832557,113.96963596343994|22.595509028432044,113.96916389465332|22.595390164850205,113.96852016448975|22.59400341547954,113.96873474121094|22.592695896137098,113.9725112915039|22.5943203879957,113.9771032333374|22.599391849005322,113.97701740264893|22.60149169613197,113.97225379943848|22.601372837715992,113.97027969360352|",0
深圳市,莲花山公园,8522,114.0585136,22.55392019,"22.553950051551528,114.04916882514954|22.548292306725312,114.04960870742798|22.54895618722122,114.06727910041809|22.55528766308981,114.06737565994263|22.559468854033806,114.0629768371582|22.559607564357414,114.05600309371948|",0
深圳市,梧桐山,8528,114.2183304,22.57930056,"22.58421653000762,114.18245315551758|22.587386447606395,114.18554306030273|22.587386447606395,114.20408248901367|22.59182420967759,114.20305252075195|22.60529511124489,114.20854568481445|22.60529511124489,114.21798706054688|22.600223867736442,114.21867370605469|22.599906908812844,114.2300033569336|22.593092115430846,114.23858642578125|22.58421653000762,114.23498153686523|22.5737552844127,114.25420761108398|22.571060592527378,114.25575256347656|22.563927330320414,114.24476623535156|22.562342110821778,114.2361831665039|22.560598348325716,114.2332649230957|22.55631811054147,114.23171997070312|22.55917161715641,114.22571182250977|22.555366928551685,114.21146392822266|22.553306011740816,114.18880462646484|22.571060592527378,114.180908203125|",0
深圳市,杨梅坑,9362,114.5772743,22.52753568,"22.554732803581434,114.52577590942383|22.557586342991698,114.53092575073242|22.56567105072013,114.5298957824707|22.563927330320414,114.5379638671875|22.567414749067407,114.54019546508789|22.565988088423563,114.54568862915039|22.569158425360946,114.54843521118164|22.566463643611833,114.55513000488281|22.55853750967699,114.5547866821289|22.539037281874425,114.60371017456055|22.54236678412239,114.60868835449219|22.541732599409258,114.61074829101562|22.535232038124086,114.6119499206543|22.531902363819412,114.60886001586914|22.512239793623987,114.6287727355957|22.503359006258197,114.62722778320312|22.49780822453712,114.61555480957031|22.49400184548215,114.61606979370117|22.494636249263568,114.60800170898438|22.489085117556222,114.59753036499023|22.49035396729302,114.5870590209961|22.485912942320954,114.58551406860352|",0
深圳市,红树林公园,10107,114.0184736,22.51860443,"22.512658544346998,114.04426574707031|22.50437249547749,114.03855800628662|22.50433284811706,114.03834342956543|22.504610379401367,114.0360689163208|22.505442969912494,114.03598308563232|22.50758389392293,114.03765678405762|22.50990566872118,114.03491020202637|22.514663079054507,114.03061866760254|22.517676020913147,114.02538299560547|22.519975327088893,114.01988983154297|22.518944608361622,114.01731491088867|22.52457382466492,114.00907516479492|22.525604501401144,114.00589942932129|22.52449454152056,114.00298118591309|22.522591732407143,114.00469779968262|22.519578897718958,113.99894714355469|22.52084746769955,113.99551391601562|22.520292469766,113.9926815032959|22.521935158077273,113.99487018585205|22.522612172878663,113.99435520172119|22.52737472030202,113.99345397949219|22.530299433947423,114.00864601135254|22.531052590331022,114.01066303253174|22.531330067963353,114.01160717010498|22.53117150938457,114.01675701141357|22.53243997291787,114.01688575744629|22.53287600456669,114.01765823364258|22.52673179527687,114.0201473236084|22.522767644244833,114.02366638183594|22.517812295513732,114.03250694274902|",0
深圳市,荔香公园,18343,113.9295423,22.53673826,"22.53979039060095,113.927321434021|22.539394018099106,113.9301323890686|22.537531052096753,113.9316987991333|22.5336861278954,113.93182754516602|22.5336861278954,113.9276647567749|22.53826435022537,113.92725706100464|",0
深圳市,深圳海上世界,18346,113.9164746,22.48294391,"22.48429708761341,113.91483306884766|22.483741942992605,113.91456484794617|22.483087662545778,113.9152193069458|22.482304504611808,113.9148223400116|22.48153125572298,113.91654968261719|22.482135976375893,113.91749382019043|22.483196709501655,113.91838431358337|22.4838509894331,113.9176332950592|22.484088908641493,113.91687154769897|22.48368246307976,113.91591668128967|22.484356567262168,113.91506910324097|",0
广州市,广州长隆,8,113.32536,23.001453,"23.010346803142816,113.33311557769775|23.00959628673143,113.33054065704346|23.007226207497368,113.33165645599365|23.005804139973925,113.32770824432373|23.004935091331998,113.3228588104248|23.003078468665613,113.32221508026123|23.00019472749805,113.323073387146|22.99845655237741,113.32380294799805|22.9962047922393,113.3265495300293|22.993913488985395,113.3289098739624|22.99948365856307,113.33779335021973|23.00280194821079,113.34380149841309|23.005409118557765,113.34144115447998|",0
广州市,广州站,512,113.2576502,23.14815054,"23.148203,113.25988|23.148146,113.259872|23.146713,113.259171|23.146669,113.25914|23.146648,113.259064|23.146896,113.25827|23.147369,113.257111|23.148081,113.255531|23.148121,113.255486|23.148172,113.255493|23.148993,113.255981|23.149,113.256004|23.148998,113.256042|23.148846,113.256325|23.148842,113.256371|23.148848,113.256401|23.149712,113.256897|23.149721,113.256912|23.149727,113.256935|23.148833809876166,113.2586817460327|23.148239,113.259865|",0
惠州市,南昆山生态旅游区,1050,113.9035596,23.62487505,"23.630215,113.879509|23.632132,113.884651|23.633558,113.886017|23.634953,113.886848|23.635509,113.889496|23.635937,113.89006|23.636545,113.890663|23.637417,113.892159|23.638323,113.893692|23.639334,113.895638|23.640013,113.89698|23.64024,113.898323|23.640495,113.898865|23.641678,113.89994|23.643126,113.899635|23.643526,113.900627|23.644398,113.901009|23.645729,113.899628|23.646372,113.898216|23.646721,113.89798|23.6474,113.898109|23.648582,113.899223|23.648878,113.900192|23.649244,113.900291|23.650324,113.901283|23.650639,113.902252|23.652422,113.901733|23.653214,113.902153|23.65379,113.903618|23.653858,113.904228|23.654982,113.905396|23.655695,113.905678|23.656105,113.906487|23.656166,113.907051|23.65641,113.907272|23.657192,113.90757|23.657089,113.907959|23.656635,113.908241|23.65661,113.908539|23.657045,113.908852|23.656879,113.909088|23.656567,113.909286|23.656664,113.909691|23.656498,113.909821|23.656107,113.909782|23.656054,113.909973|23.656359,113.910774|23.656549,113.911049|23.656725,113.911263|23.656708,113.911797|23.656725,113.912338|23.656673,113.912659|23.656786,113.912811|23.656908,113.912827|23.657133,113.913376|23.657221,113.913712|23.656151,113.914406|23.656134,113.914818|23.656404,113.915421|23.656265,113.915779|23.657248,113.916283|23.657291,113.917244|23.657284,113.918007|23.657616,113.91851|23.657101,113.919098|23.657066,113.919525|23.656788,113.919815|23.657242,113.920219|23.657206,113.92041|23.656675,113.920563|23.65658,113.920906|23.656658,113.921585|23.657921,113.921516|23.658451,113.922684|23.657825,113.925255|23.656677,113.927406|23.656853,113.92926|23.656923,113.932289|23.659151,113.934479|23.660093,113.93679|23.659224,113.93811|23.659433,113.940605|23.658945,113.942688|23.659189,113.944313|23.658461,113.945297|23.656372,113.946587|23.656267,113.947266|23.65766,113.947868|23.657522,113.950066|23.658672,113.953201|23.657385,113.955055|23.654842,113.954185|23.654146,113.951576|23.649967,113.951393|23.649166,113.948822|23.645613,113.940048|23.647699,113.932785|23.647907,113.930214|23.645189,113.927643|23.642685,113.926964|23.638229,113.933014|23.631338,113.935059|23.624935,113.940735|23.61846,113.938698|23.614559,113.936806|23.611288,113.939232|23.608088,113.944221|23.604399,113.945511|23.600918,113.944908|23.599245,113.94355|23.598061,113.939163|23.597639,113.930611|23.594925,113.931374|23.593184,113.929863|23.59304,113.91806|23.590803,113.893478|23.589754,113.883041|23.590033,113.87706|23.595037,113.856331|23.600119,113.852623|23.608402,113.852165|23.61871,113.858521|23.62505,113.870689|",0
惠州市,南昆山温泉大观园,1074,114.0302019,23.61502418,"23.617043,114.026756|23.615698,114.026672|23.614193,114.028107|23.612743,114.029663|23.611803,114.029449|23.611156,114.031288|23.611628,114.032829|23.611742,114.03363|23.612904,114.033356|23.614166,114.032974|23.614311,114.032967|23.614462,114.033005|23.615318,114.033218|23.617359,114.033615|23.618185,114.033737|23.618303,114.03373|23.618439,114.033615|23.618612,114.033348|23.618677,114.032951|23.618887,114.03109|23.618828,114.03093|23.61874,114.030846|23.618187,114.030815|23.61768,114.030754|23.617153,114.030479|23.616957,114.030281|23.616936,114.030067|23.61697,114.02993|23.617279,114.029488|23.617359,114.029343|23.61754,114.028557|23.617622,114.028015|23.61743,114.027603|23.617195,114.027054|",0
